start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
4.18,MYOPIC,1,3,4.18,0.36,53.026787309836045,PRESERVING,3.82,2,CONTINUE,
4.18,MYOPIC,2,2,3.82,0.36,71.36037244201924,PRESERVING,3.46,1,CONTINUE,
4.18,MYOPIC,3,1,3.46,0.36,99.22025135628195,PRESERVING,3.1,0,TERMINAL_REACHED,
4.181,MYOPIC,1,3,4.181,0.36,52.985165029703495,PRESERVING,3.821,2,CONTINUE,
4.181,MYOPIC,2,2,3.821,0.36,71.29853503433206,PRESERVING,3.461,1,CONTINUE,
4.181,MYOPIC,3,1,3.461,0.361,99.55498849452039,PRESERVING,3.1,0,TERMINAL_REACHED,
4.182,MYOPIC,1,3,4.182,0.36,52.943586298906844,PRESERVING,3.822,2,CONTINUE,
4.182,MYOPIC,2,2,3.822,0.36,71.23676905304204,PRESERVING,3.462,1,CONTINUE,
4.182,MYOPIC,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,0,TERMINAL_REACHED,
4.183,MYOPIC,1,3,4.183,0.36,52.90205106050394,PRESERVING,3.823,2,CONTINUE,
4.183,MYOPIC,2,2,3.823,0.36,71.17507439505117,DESTROYING,3.463,1,CONTINUE,
4.183,MYOPIC,3,1,3.463,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.184,MYOPIC,1,3,4.184,0.36,52.86055925764199,PRESERVING,3.824,2,CONTINUE,
4.184,MYOPIC,2,2,3.824,0.36,71.11345095743972,DESTROYING,3.464,1,CONTINUE,
4.184,MYOPIC,3,1,3.464,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.185,MYOPIC,1,3,4.185,0.36,52.81911083355733,PRESERVING,3.825,2,CONTINUE,
4.185,MYOPIC,2,2,3.825,0.36,71.05189863746628,DESTROYING,3.465,1,CONTINUE,
4.185,MYOPIC,3,1,3.465,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.186,MYOPIC,1,3,4.186,0.36,52.777705731575345,PRESERVING,3.826,2,CONTINUE,
4.186,MYOPIC,2,2,3.826,0.36,70.99041733256718,DESTROYING,3.466,1,CONTINUE,
4.186,MYOPIC,3,1,3.466,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.187,MYOPIC,1,3,4.187,0.36,52.73634389511021,PRESERVING,3.827,2,CONTINUE,
4.187,MYOPIC,2,2,3.827,0.36,70.92900694035627,DESTROYING,3.467,1,CONTINUE,
4.187,MYOPIC,3,1,3.467,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.188,MYOPIC,1,3,4.188,0.36,52.69502526766479,PRESERVING,3.828,2,CONTINUE,
4.188,MYOPIC,2,2,3.828,0.36,70.86766735862443,DESTROYING,3.468,1,CONTINUE,
4.188,MYOPIC,3,1,3.468,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.189,MYOPIC,1,3,4.189,0.36,52.65374979283043,PRESERVING,3.829,2,CONTINUE,
4.189,MYOPIC,2,2,3.829,0.36,70.80639848533926,DESTROYING,3.469,1,CONTINUE,
4.189,MYOPIC,3,1,3.469,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.19,MYOPIC,1,3,4.19,0.36,52.612517414286856,PRESERVING,3.83,2,CONTINUE,
4.19,MYOPIC,2,2,3.83,0.36,70.7452002186447,DESTROYING,3.47,1,CONTINUE,
4.19,MYOPIC,3,1,3.47,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.191,MYOPIC,1,3,4.191,0.36,52.571328075801944,PRESERVING,3.831,2,CONTINUE,
4.191,MYOPIC,2,2,3.831,0.36,70.68407245686083,DESTROYING,3.471,1,CONTINUE,
